Number,Sentence,Highest_Label,Positive_Score,Neutral_Score,Negative_Score
1,"Once upon a time there were Three Bears, who lived together in a house of their own, in a wood.",Neutral,0.09753672033548355,0.8859273791313171,0.016535848379135132
2,"One of them was a Little, Small Wee Bear; and one was a Middle-sized Bear, and the other was a Great, Huge Bear.",Neutral,0.3709457814693451,0.6126305460929871,0.016423668712377548
3,"They had each a pot for their porridge, a little pot for the Little, Small, Wee Bear; and a middle-sized pot for the Middle Bear, and a great pot for the Great, Huge Bear.",Positive,0.60173100233078,0.3880358636379242,0.010233134031295776
4,"And they had each a chair to sit in; a little chair for the Little, Small, Wee Bear; and a middle-sized chair for the Middle Bear; and a great chair for the Great, Huge Bear.",Positive,0.6182697415351868,0.3739551305770874,0.007775092963129282
5,"And they had each a bed to sleep in; a little bed for the Little, Small, Wee Bear; and a middle-sized bed for the Middle Bear; and a great bed for the Great, Huge Bear.",Positive,0.7175797820091248,0.2754087448120117,0.0070114959962666035
6,"One day, after they had made the porridge for their breakfast, and poured it into their porridge-pots, they walked out into the wood while the porridge was cooling, that they might not burn their mouths, by beginning too soon to eat it.",Neutral,0.0848812684416771,0.8226262927055359,0.09249245375394821
7,"And while they were walking, a little old Woman came to the house.",Neutral,0.09086953103542328,0.8788324594497681,0.03029806911945343
8,"She could not have been a good, honest old Woman; for first she looked in at the window, and then she peeped in at the keyhole; and seeing nobody in the house, she lifted the latch.",Negative,0.031845275312662125,0.36202487349510193,0.6061298251152039
9,"The door was not fastened, because the Bears were good Bears, who did nobody any harm, and never suspected that anybody would harm them.",Positive,0.5960983633995056,0.36289873719215393,0.04100288078188896
10,"So the little old Woman opened the door, and went in; and well pleased she was when she saw the porridge on the table.",Positive,0.8099592924118042,0.18375085294246674,0.0062899114564061165
11,"If she had been a good little old Woman, she would have waited till the Bears came home, and then, perhaps, they would have asked her to breakfast; for they were good Bears—a little rough or so, as the manner of Bears is, but for all that very good-natured and hospitable.",Positive,0.6463449597358704,0.3391321003437042,0.014522935263812542
12,"But she was an impudent, bad old Woman, and set about helping herself.",Negative,0.022225338965654373,0.29570266604423523,0.6820720434188843
