Number,Sentence,Highest_Label,Positive_Score,Neutral_Score,Negative_Score
1,"Long before Arthur and the Knights of the Round Table, there reigned in the eastern part of England a king who kept his Court at Colchester.",Neutral,0.052898481488227844,0.9174616932868958,0.02963975816965103
2,"In the midst of all his glory, his queen died, leaving behind her an only daughter, about fifteen years of age, who for her beauty and kindness was the wonder of all that knew her.",Neutral,0.28036683797836304,0.5866836905479431,0.13294945657253265
3,"But the king hearing of a lady who had likewise an only daughter, had a mind to marry her for the sake of her riches, though she was old, ugly, hook-nosed, and hump-backed.",Neutral,0.051849670708179474,0.591484010219574,0.3566663861274719
4,"Her daughter was a yellow dowdy, full of envy and ill-nature; and, in short, was much of the same mould as her mother.",Negative,0.005760726518929005,0.10193586349487305,0.892303466796875
5,"But in a few weeks the king, attended by the nobility and gentry, brought his deformed bride to the palace, where the marriage rites were performed.",Neutral,0.05734382942318916,0.9268528819084167,0.015803322196006775
6,They had not been long in the Court before they set the king against his own beautiful daughter by false reports.,Negative,0.021433066576719284,0.40172088146209717,0.5768460035324097
7,"The young princess having lost her father's love, grew weary of the Court, and one day, meeting with her father in the garden, she begged him, with tears in her eyes, to let her go and seek her fortune; to which the king consented, and ordered her mother-in-law to give her what she pleased.",Neutral,0.07135054469108582,0.7562942504882812,0.17235514521598816
8,"She went to the queen, who gave her a canvas bag of brown bread and hard cheese, with a bottle of beer; though this was but a pitiful dowry for a king's daughter.",Negative,0.052284594625234604,0.4253350496292114,0.5223803520202637
9,"She took it, with thanks, and proceeded on her journey, passing through groves, woods, and valleys, till at length she saw an old man sitting on a stone at the mouth of a cave, who said: “Good morrow, fair maiden, whither away so fast?”
“Aged father,” says she, “I am going to seek my fortune.”
“What have you got in your bag and bottle?”
“In my bag I have got bread and cheese, and in my bottle good small beer.",Neutral,0.1693929135799408,0.7684908509254456,0.062116172164678574
10,"Would you like to have some?”
“Yes,” said he, “with all my heart.”
With that the lady pulled out her provisions, and bade him eat and welcome.",Neutral,0.4427464008331299,0.5490517616271973,0.008201868273317814
11,"He did so, and gave her many thanks, and said: “There is a thick thorny hedge before you, which you cannot get through, but take this wand in your hand, strike it three times, and say, 'Pray, hedge, let me come through,' and it will open immediately; then, a little further, you will find a well; sit down on the brink of it, and there will come up three golden heads, which will speak; and whatever they require, that do.” Promising she would, she took her leave of him.",Neutral,0.18316632509231567,0.7724854350090027,0.04434823989868164
12,"Coming to the hedge and using the old man's wand, it divided, and let her through; then, coming to the well, she had no sooner sat down than a golden head came up singing:
“Wash me, and comb me,
And lay me down softly.",Neutral,0.11869524419307709,0.8367450833320618,0.04455959051847458
13,"And lay me on a bank to dry,
That I may look pretty,
When somebody passes by.”
“Yes,” said she, and taking it in her lap combed it with a silver comb, and then placed it upon a primrose bank.",Neutral,0.40943658351898193,0.5767017006874084,0.013861711136996746
14,"Then up came a second and a third head, saying the same as the former.",Neutral,0.047470349818468094,0.8049809336662292,0.14754870533943176
15,"So she did the same for them, and then, pulling out her provisions, sat down to eat her dinner.",Neutral,0.12045972794294357,0.8653684258460999,0.014171880669891834
16,"Then said the heads one to another: “What shall we weird for this damsel who has used us so kindly?”
The first said: “I weird her to be so beautiful that she shall charm the most powerful prince in the world.”
The second said: “I weird her such a sweet voice as shall far exceed the nightingale.”
The third said: “My gift shall be none of the least, as she is a king's daughter, I'll weird her so fortunate that she shall become queen to the greatest prince that reigns.”
She then let them down into the well again, and so went on her journey.",Positive,0.7460377216339111,0.24163100123405457,0.01233129482716322
17,She had not travelled long before she saw a king hunting in the park with his nobles.,Neutral,0.056528814136981964,0.7352092266082764,0.20826196670532227
18,"She would have avoided him, but the king, having caught a sight of her, approached, and what with her beauty and sweet voice, fell desperately in love with her, and soon induced her to marry him.",Positive,0.6904619932174683,0.2898862957954407,0.019651683047413826
19,"This king finding that she was the King of Colchester's daughter, ordered some chariots to be got ready, that he might pay the king, his father-in-law, a visit.",Neutral,0.06430120766162872,0.908158004283905,0.027540789917111397
20,The chariot in which the king and queen rode was adorned with rich gems of gold.,Positive,0.5814749002456665,0.4131699502468109,0.0053551835007965565
21,"The king, her father, was at first astonished that his daughter had been so fortunate, till the young king let him know of all that had happened.",Positive,0.5815081000328064,0.38847774267196655,0.03001418150961399
22,"Great was the joy at Court amongst all, with the exception of the queen and her club-footed daughter, who were ready to burst with envy.",Positive,0.6742847561836243,0.27886897325515747,0.04684623330831528
23,"The rejoicings, with feasting and dancing, continued many days.",Positive,0.7398480176925659,0.25672078132629395,0.0034311790950596333
24,Then at length they returned home with the dowry her father gave her.,Neutral,0.06672898679971695,0.9072277545928955,0.02604323998093605
25,"The hump-backed princess, perceiving that her sister had been so lucky in seeking her fortune, wanted to do the same; so she told her mother, and all preparations were made, and she was furnished with rich dresses, and with sugar, almonds, and sweetmeats, in great quantities, and a large bottle of Malaga sack.",Positive,0.5109471678733826,0.47858747839927673,0.010465304367244244
26,"With these she went the same road as her sister; and coming near the cave, the old man said: “Young woman, whither so fast?”
“What's that to you?” said she.",Neutral,0.04985641688108444,0.8456972241401672,0.10444629192352295
27,"“Then,” said he, “what have you in your bag and bottle?”
She answered: “Good things, which you shall not be troubled with.”
“Won't you give me some?” said he.",Neutral,0.28206026554107666,0.6389850974082947,0.07895461469888687
28,"“No, not a bit, nor a drop, unless it would choke you.”
The old man frowned, saying: “Evil fortune attend ye!”
Going on, she came to the hedge, through which she espied a gap, and thought to pass through it; but the hedge closed, and the, thorns ran into her flesh, so that it was with great difficulty that she got through.",Neutral,0.05399380251765251,0.5386245250701904,0.4073817729949951
29,"Being now all over blood, she searched for water to wash herself, and, looking round, she saw the well.",Neutral,0.04413016885519028,0.6413294672966003,0.3145403265953064
